VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,NUMOCCS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,HIT_RUN,ROLINLOC,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWED,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,SPEEDREL,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,D_VISION1,D_VISION2,D_VISION3,LAST_YR,FIRST_YR,DR_ZIP,MONTH,DAY,HOUR,MINUTE,HARM_EV,MAN_COLL,VE_FORMS
5TEGN92N11Z7,5,T,E,G,N,9,2,N,1,1,Z,7,4,1,1,49,472,30,4,1,0,0,35,1,0,0,0,0,0,0,0,0,0,0,12,12,0,6,1,2,0,0,0,1,2,8,0,8,0,0,0,0,0,17,0,0,1,0,40657,0,49472,2001,DCP,TAC,CW,000000000,G,00000000000,1219,0,,,1,1,0,4,1,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,175,68,0,0,0,0,0,85741,12,10,6,20,8,0,1
1GNFK16K0SJ4,1,G,N,F,K,1,6,K,0,S,J,4,4,1,1,20,421,15,4,2,9,0,55,1,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,2,0,0,0,1,0,1,1,63,1,0,0,0,0,17,0,0,1,0,40658,0,20421,1995,K15,***,UT,000000000,*,00000000000,1315,0,,0,,1,0,96,9,9,9,9,9,9,0,0,0,1,99,99,99,99,99,99,99,37,0,0,0,185,73,0,0,0,9999,9999,0,12,3,17,16,1,0,1
1FTSW31F51EA,1,F,T,S,W,3,1,F,5,1,E,A,4,1,1,12,481,31,4,2,0,0,55,1,0,0,0,0,0,0,0,0,0,0,18,18,0,6,1,2,0,1,35,17,4,54,0,61,54,0,0,0,0,17,0,0,1,0,40659,0,12481,2001,F3S,SRW,CW,000000000,D,00000000000,1562,1724,,,2,1,0,4,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,210,72,0,0,0,0,0,85205,12,14,18,55,54,11,2
1FAFP36N95W1,1,F,A,F,P,3,6,N,9,5,W,1,4,2,1,12,37,6,4,1,0,0,999,1,0,0,0,0,0,0,0,0,0,0,12,12,0,6,2,2,0,0,0,17,0,54,1,54,0,0,0,0,0,17,0,0,1,0,40659,0,12037,2005,ZXW,***,SW,000000000,*,00000000000,1030,0,,2768,,1,0,4,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,70,0,0,0,0,0,85323,12,14,18,55,54,11,2
JKAZX4P197A0,J,K,A,Z,X,4,P,1,9,7,A,0,4,1,1,73,705,80,4,1,0,0,998,1,0,0,0,0,0,0,0,0,0,0,12,12,0,6,1,2,0,0,0,17,0,34,1,63,34,37,42,67,0,17,0,0,1,0,40660,0,73705,2007,ZXP,***,RS,000000000,*,00000000000,,,599,,,1,0,4,1,6,0,0,2,0,0,0,0,1,0,0,0,1,0,3,3,5,0,0,0,150,72,0,0,0,2008,2008,85224,11,26,8,33,34,0,1
3D7KS28C16G1,3,D,7,K,S,2,8,C,1,6,G,1,4,1,1,7,482,31,92,5,1,0,998,1,0,0,0,0,0,0,0,5,0,0,99,99,0,6,1,2,0,0,0,17,0,1,1,64,24,63,24,1,42,17,0,0,1,0,40661,0,7482,2006,S2L,RPC,CW,000000000,D,00000000000,1405,1605,,,2,1,0,4,1,1,0,0,2,0,0,0,0,1,0,3,0,3,0,9,1,37,0,0,0,175,69,0,0,0,2008,2007,85937,12,21,1,47,24,0,1
1FUY0SEB71LH,1,F,U,Y,0,S,E,B,7,1,L,H,4,1,1,82,881,66,42,3,0,1,998,1,0,0,0,1,6,1,0,0,0,0,6,6,0,4,2,3,1,0,0,2,0,12,0,12,2,0,0,0,0,17,0,3,1,57,40662,0,82881,2001,CS1,MCV,DS,1701568,D,571701568,0,0,,,8,1,0,42,1,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,70,1,0,0,0,0,19116,12,22,99,99,12,1,13
1J4GZ78Y8VC5,1,J,4,G,Z,7,8,Y,8,V,C,5,4,2,2,2,403,14,4,2,0,0,998,1,0,0,0,0,0,0,0,0,0,0,6,99,0,6,3,2,1,0,0,2,0,12,2,12,12,2,0,0,0,17,0,0,1,0,40662,0,2403,1997,L/O,GCK,4W,000000000,G,00000000000,1059,0,,,1,1,0,4,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,63,1,0,0,0,0,85222,12,22,99,99,12,1,13
1FUYSDYB61PG,1,F,U,Y,S,D,Y,B,6,1,P,G,4,3,1,82,881,66,49,3,0,1,998,1,0,0,0,1,6,1,0,0,0,0,99,99,0,6,1,2,1,0,0,1,0,12,0,12,12,12,12,12,2,17,0,3,1,57,40662,0,82881,2001,FC2,CON,DS,00528004,D,5700528004,0,0,,,8,1,0,4,1,6,6,0,3,0,23,0,0,1,0,2,0,1,0,4,1,92,0,0,0,240,72,1,0,0,2008,2008,85027,12,22,99,99,12,1,13
JTDKB20U6978,J,T,D,K,B,2,0,U,6,9,7,8,4,4,1,49,46,5,4,1,0,0,998,1,0,0,0,0,0,0,0,0,0,0,6,6,0,6,2,2,0,36,0,2,0,12,0,12,0,0,0,0,0,17,0,0,1,0,40662,0,49046,2009,PRI,***,4H,000000000,*,00000000000,1063,0,,2932,,1,0,4,1,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,72,1,0,0,0,0,85222,12,22,99,99,12,1,13
