STATE,VEH_NO,PER_NO,N_MOT_NO,AGE,SEX,PER_TYP,SEAT_POS,REST_USE,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,LOCATION,DRINKING,ALC_DET,ATST_TYP,ALC_RES,ALC_STATUS,DRUGS,DSTATUS,DRUG_DET,DRUGTST1,DRUGRES1,DRUGTST2,DRUGRES2,DRUGTST3,DRUGRES3,INJ_SEV,HOSPITAL,DEATH_MO,DEATH_DA,DEATH_HR,DEATH_MN,LAG_HRS,LAG_MINS,RACE,HISPANIC,P_CF1,P_CF2,P_CF3,WORK_INJ,DOA,ST_CASE,DEATH_YR,DEATH_TM,CERT_NO,MAKE,BODY_TYP,ROLLOVER,TOW_VEH,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,IMPACTS,FIRE_EXP,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,COUNTY,MONTH,DAY,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,VE_FORMS
48,1,2,0,33,1,2,13,0,99,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,1,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481049,8888,8888,************,12,2,0,0,0,0,2,9,1,0,12003,1991,MLX,***,2D,1005,0,,2759,,201,4,4,18,55,16,42,0,0,1
48,1,1,0,49,1,1,11,3,20,0,0,0,0,1,9,1,15,2,8,0,8,0,0,0,0,0,0,2,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481050,8888,8888,************,20,31,1,0,0,0,1,1,1,0,20482,2003,CAV,AVL,CW,1300,0,,,2,317,4,18,2,46,3,38,0,0,1
48,1,2,0,44,1,2,13,99,20,0,0,0,0,8,9,99,99,9,8,9,8,9,999,9,999,9,999,4,1,4,20,9,53,55,7,99,99,0,0,0,9,0,481050,2009,953,************,20,31,1,0,0,0,1,1,1,0,20482,2003,CAV,AVL,CW,1300,0,,,2,317,4,18,2,46,3,38,0,0,1
48,1,1,0,23,1,1,11,3,1,0,0,0,0,1,9,2,13,2,8,2,8,2,1,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,481051,8888,8888,************,20,31,0,0,0,0,12,12,1,0,20481,2003,SC1,SIL,4C,1435,1575,,,2,201,4,19,3,37,12,12,5,0,2
48,1,2,0,20,1,2,13,3,1,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,481051,8888,8888,************,20,31,0,0,0,0,12,12,1,0,20481,2003,SC1,SIL,4C,1435,1575,,,2,201,4,19,3,37,12,12,5,0,2
48,1,3,0,21,1,2,21,3,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,481051,8888,8888,************,20,31,0,0,0,0,12,12,1,0,20481,2003,SC1,SIL,4C,1435,1575,,,2,201,4,19,3,37,12,12,5,0,2
48,2,1,0,60,1,1,11,3,0,0,0,0,0,8,9,1,0,2,8,2,8,1,1,0,0,0,0,4,0,4,19,4,4,0,27,1,99,0,0,0,9,7,481051,2009,404,************,20,21,1,0,0,0,3,3,2,0,20461,1991,SV2,S/V,IC,1110,1250,,,2,201,4,19,3,37,12,12,5,0,2
48,1,1,0,27,1,1,11,0,0,8,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,2,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481052,8888,8888,************,73,80,0,0,0,0,14,14,1,0,73706,2009,Z0E,***,RC,,,998,,,201,4,19,20,32,16,33,0,0,1
48,1,2,0,19,2,2,21,0,0,8,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,4,1,4,20,11,35,15,3,99,99,0,0,0,9,0,481052,2009,1135,************,73,80,0,0,0,0,14,14,1,0,73706,2009,Z0E,***,RC,,,998,,,201,4,19,20,32,16,33,0,0,1
48,0,1,1,64,1,5,0,0,0,8,0,0,12,8,9,1,0,2,8,0,8,0,0,0,0,0,0,4,1,4,21,22,30,2,3,78,7,38,0,0,9,0,481053,2009,2230,************,,,,,,,,,,,,,,,,,,,,,201,4,21,20,27,16,8,0,0,1
